fips,cornpc
26013,0.0
26015,1.0
26017,1.0
26019,1.0
26021,1.0
26023,1.0
26025,1.0
26027,1.0
26029,1.0
26031,
26033,
26035,1.0
26037,1.0
26039,
26041,1.0
26043,1.0
26045,1.0
26047,1.0
26049,1.0
26051,1.0
26053,0.0
26055,1.0
26057,1.0
26059,1.0
26061,0.0
26063,1.0
26065,1.0
26067,1.0
26069,1.0
26071,0.0
26073,1.0
26075,1.0
26077,1.0
26079,1.0
26081,1.0
26085,1.0
26087,1.0
26089,1.0
26091,1.0
26093,1.0
26095,0.0
26097,0.0
26099,1.0
26101,1.0
26103,0.0
26105,1.0
26107,1.0
26109,1.0
26111,1.0
26113,1.0
26115,1.0
26117,1.0
26119,1.0
26121,1.0
26123,1.0
26125,1.0
26127,1.0
26129,1.0
26131,0.0
26133,1.0
26135,1.0
26137,1.0
26139,1.0
26141,1.0
26143,0.0
26145,1.0
26147,1.0
26149,1.0
26151,1.0
26153,0.0
26155,1.0
26157,1.0
26159,1.0
26161,1.0
26163,1.0
26165,1.0
27001,1.0
27003,1.0
27005,1.0
27007,
27009,1.0
27011,1.0
27013,1.0
27015,1.0
27017,1.0
27019,1.0
27021,1.0
27023,1.0
27025,1.0
27027,1.0
27029,1.0
27031,0.0
27033,1.0
27035,1.0
27037,1.0
27039,1.0
27041,1.0
27043,1.0
27045,1.0
27047,1.0
27049,1.0
27051,1.0
27053,1.0
27055,1.0
27057,1.0
27059,1.0
27061,
27063,1.0
27065,1.0
27067,1.0
27069,
27071,
27073,1.0
27075,0.0
27077,
27079,1.0
27081,1.0
27083,1.0
27085,1.0
27087,1.0
27089,1.0
27091,1.0
27093,1.0
27095,1.0
27097,1.0
27099,1.0
27101,1.0
27103,1.0
27105,1.0
27107,1.0
27109,1.0
27111,1.0
27113,
27115,1.0
27117,1.0
27119,1.0
27121,1.0
27123,0.0
27125,1.0
27127,1.0
27129,1.0
27131,1.0
27133,1.0
27135,
27137,0.0
27139,1.0
27141,1.0
27143,1.0
27145,1.0
27147,1.0
27149,1.0
27151,1.0
27153,1.0
27155,1.0
27157,1.0
27159,1.0
27161,1.0
27163,1.0
27165,1.0
27167,1.0
27169,1.0
27171,1.0
27173,1.0
29001,1.0
29003,1.0
29005,1.0
29007,1.0
29009,
29011,1.0
29013,1.0
29015,1.0
29017,1.0
29019,1.0
29021,1.0
29023,1.0
29025,1.0
29027,1.0
29029,
29031,1.0
29033,1.0
29035,0.0
29037,1.0
29039,1.0
29041,1.0
29043,
29045,1.0
29047,1.0
29049,1.0
29051,1.0
29053,1.0
29055,
29057,1.0
29059,
29061,1.0
29063,1.0
29065,
29067,
29069,1.0
29071,1.0
29073,1.0
29075,1.0
29077,1.0
29079,1.0
29081,1.0
29083,1.0
29085,1.0
29087,1.0
29089,1.0
29091,0.0
29093,0.0
29095,1.0
29097,1.0
29099,1.0
29101,1.0
29103,1.0
29105,
29107,1.0
29109,1.0
29111,1.0
29113,1.0
29115,1.0
29117,1.0
29119,
29121,1.0
29123,
29125,
29127,1.0
29129,1.0
29131,1.0
29133,1.0
29135,1.0
29137,1.0
29139,1.0
29141,1.0
29143,1.0
29145,1.0
29147,1.0
29149,0.0
29151,1.0
29153,0.0
29155,1.0
29157,1.0
29159,1.0
29161,0.0
29163,1.0
29165,1.0
29167,
29169,
29171,1.0
29173,1.0
29175,1.0
29177,1.0
29179,0.0
29181,1.0
29183,1.0
29185,1.0
29186,1.0
29187,1.0
29189,1.0
29195,1.0
29197,1.0
29199,1.0
29201,1.0
29203,0.0
29205,1.0
29207,1.0
29209,
29211,1.0
29213,0.0
29215,0.0
29217,1.0
29219,1.0
29221,0.0
29223,1.0
29225,
29227,1.0
29229,
31001,1.0
31003,1.0
31005,
31007,1.0
31009,1.0
31011,1.0
31013,1.0
31015,1.0
31017,1.0
31019,1.0
31021,1.0
31023,1.0
31025,1.0
31027,1.0
31029,1.0
31031,
31033,1.0
31035,1.0
31037,1.0
31039,1.0
31041,1.0
31043,1.0
31045,
31047,1.0
31049,1.0
31051,1.0
31053,1.0
31055,1.0
31057,1.0
31059,1.0
31061,1.0
31063,1.0
31065,1.0
31067,1.0
31069,1.0
31071,1.0
31073,1.0
31075,0.0
31077,1.0
31079,1.0
31081,1.0
31083,1.0
31085,1.0
31087,1.0
31089,1.0
31091,0.0
31093,1.0
31095,1.0
31097,1.0
31099,1.0
31101,1.0
31103,1.0
31105,1.0
31107,1.0
31109,1.0
31111,1.0
31113,1.0
31115,1.0
31117,0.0
31119,1.0
31121,1.0
31123,1.0
31125,1.0
31127,1.0
31129,1.0
31131,1.0
31133,1.0
31135,1.0
31137,1.0
31139,1.0
31141,1.0
31143,1.0
31145,1.0
31147,1.0
31149,1.0
31151,1.0
31153,1.0
31155,1.0
31157,1.0
31159,1.0
31161,1.0
31163,1.0
31165,1.0
31167,1.0
31169,1.0
31171,0.0
31173,1.0
31175,1.0
31177,1.0
31179,1.0
31181,1.0
31183,1.0
31185,1.0
38001,
38003,1.0
38005,1.0
38007,
38009,1.0
38011,
38013,
38015,1.0
38017,1.0
38019,
38021,1.0
38023,
38025,
38027,1.0
38029,1.0
38031,1.0
38033,1.0
38035,1.0
38037,
38039,1.0
38041,1.0
38043,1.0
38045,1.0
38047,1.0
38049,1.0
38051,1.0
38053,
38055,1.0
38057,
38059,
38061,
38063,1.0
38065,
38067,1.0
38069,1.0
38071,1.0
38073,1.0
38075,
38077,1.0
38079,1.0
38081,1.0
38083,
38089,
38091,1.0
38093,1.0
38095,1.0
38097,1.0
38099,1.0
38101,
38103,1.0
38105,
39001,
39003,
39005,
39007,
39009,
39011,
39013,0.0
39015,
39017,
39019,
39021,
39023,
39025,
39027,
39029,
39031,
39033,
39035,0.0
39037,
39039,
39041,
39043,
39045,
39047,
39049,
39051,
39053,
39055,
39057,
39059,
39061,
39063,
39065,
39067,
39069,
39071,
39073,
39075,
39077,
39079,
39081,
39083,
39085,
39087,
39089,
39091,
39093,
39095,
39097,
39099,
39101,
39103,
39105,
39107,
39109,
39111,
39113,
39115,
39117,
39119,
39121,
39123,
39125,
39127,
39129,
39131,
39133,
39135,
39137,
39139,
39141,
39143,
39145,
39147,
39149,
39151,
39153,
39155,
39157,
39159,
39161,
39163,
39165,
39167,
39169,
39171,
39173,
39175,
46003,1.0
46005,1.0
46007,1.0
46009,1.0
46011,1.0
46013,1.0
46015,1.0
46017,1.0
46019,
46021,1.0
46023,1.0
46025,1.0
46027,1.0
46029,1.0
46031,1.0
46033,0.0
46035,1.0
46037,1.0
46039,1.0
46041,
46043,1.0
46045,1.0
46047,
46049,1.0
46051,1.0
46053,1.0
46055,
46057,1.0
46059,1.0
46061,1.0
46063,
46065,1.0
46067,1.0
46069,1.0
46071,
46073,1.0
46075,1.0
46077,1.0
46079,1.0
46081,0.0
46083,1.0
46085,1.0
46087,1.0
46089,1.0
46091,1.0
46093,
46095,
46097,1.0
46099,1.0
46101,1.0
46102,
46103,
46105,
46107,1.0
46109,1.0
46111,1.0
46115,1.0
46117,
46119,1.0
46121,
46123,1.0
46125,1.0
46127,1.0
46129,1.0
46135,1.0
46137,
55001,1.0
55003,1.0
55005,1.0
55007,1.0
55009,1.0
55011,1.0
55013,1.0
55015,1.0
55017,1.0
55019,1.0
55021,1.0
55023,1.0
55025,1.0
55027,1.0
55029,1.0
55031,0.0
55033,1.0
55035,1.0
55037,
55039,1.0
55041,1.0
55043,1.0
55045,1.0
55047,1.0
55049,1.0
55051,0.0
55053,1.0
55055,1.0
55057,1.0
55059,1.0
55061,1.0
55063,1.0
55065,1.0
55067,1.0
55069,1.0
55071,1.0
55073,1.0
55075,1.0
55077,1.0
55081,1.0
55083,1.0
55085,
55087,1.0
55089,1.0
55091,1.0
55093,1.0
55095,1.0
55097,1.0
55099,1.0
55101,1.0
55103,1.0
55105,1.0
55107,1.0
55109,1.0
55111,1.0
55113,1.0
55115,1.0
55117,1.0
55119,1.0
55121,1.0
55123,1.0
55127,1.0
55129,1.0
55131,1.0
55133,1.0
55135,1.0
55137,1.0
55139,1.0
55141,1.0
